product_code,description,cost_price,selling_price,markup_percent,vendor_name,category
DS-K1T673DWX,"Face Recognition Terminal, 7-inch LCD touch screen,2 Mega pixel wide-angle lens,Built-in Mifare card, Felica card,DESfire card reading module;
Max.10,000 faces capacity , Max.50,000 cards;
Two-way audio with client software, indoor station, and master station
Supports TCP/IP,WIFI, DC 12-24V/2A
Supports 6 attendance status, including check in, check out, break in, break out, overtime in, overtime out
multiple languages: English, Spanish (South America), Arabic, Thai, Indonesian, Russian, Vietnamese, Portuguese (Brazil), Japanese, Korean
Face mask detection
Supports Peripheral Module: DS-KAB673-B, DS-KAB673-BQR, DS-KAB673-FB, DS-KAB673-FBQR （B：Bluetooth; QR：QR Code; F：fingerprint）
Supports single person and multiple people (Up to 5 people) recognition
Face Recognition Accuracy Rate > 99%
Face Recognition Duration(1:N) ≤0.2s
Face Recognition Distance: 0.3m ~ 3m
 IP65",6599.54,9569.33,45,HIKVISION SA,Facial Recognition Terminal
DS-K1T673DX(O-STD)/SA/DS-K1T673DGX,DS-K1T673DX 4G Version,6845.73,9926.31,45,HIKVISION SA,4G Facial Recognition Terminal
DS-K1T673TDWX,"Face Recognition Terminal, 7-inch LCD touch screen,2 Mega pixel wide-angle lens,Built-in Mifare card, Felica card,DESfire card reading module;
Max.100,000 faces capacity , Max.500,000 cards;
Two-way audio with client software, indoor station, and master station
Supports TCP/IP, WiFi, DC 12-24V/2A
Supports 6 attendance status, including check in, check out, break in, break out, overtime in, overtime out
multiple languages: English, Spanish (South America), Arabic, Thai, Indonesian, Russian, Vietnamese, Portuguese (Brazil), Japanese, Korean
Face mask detection
Supports Peripheral Module: DS-KAB673-B, DS-KAB673-BQR, DS-KAB673-FB, DS-KAB673-FBQR （B：Bluetooth; QR：QR Code; F：fingerprint）
Supports single person and multiple people (Up to 5 people) recognition
Face Recognition Accuracy Rate > 99%
Face Recognition Duration(1:N) ≤0.2s
Face Recognition Distance: 0.3m ~ 3m
 IP65",12627.55,18309.95,45,HIKVISION SA,Facial Recognition Terminal
DS-KAB673-FB,Fingerprint & bluetooth module for DS-K1T673 MinMoe series,940.82,1364.19,45,HIKVISION SA,peripherals
DS-KAB673-FBQR,Fingerprint & bluetooth & QR Code module for DS-K1T673 MinMoe series,1321.41,1916.04,45,HIKVISION SA,peripherals
DS-KAB673-EDB,"Dual-frequency module for DS-K1T673 MinMoe series，which can support EM card, M1 card, DESfire card, bluetooth",732.3,1061.83,45,HIKVISION SA,peripherals
DS-KAB673-P,Palm prints & palm veins recognition module for DS-K1T673 MinMoe series,2357.7,3418.66,45,HIKVISION SA,peripherals
DS-KAB673-A,"Alcohol detection module, used with DS-K1T673 Series Face Recognition Terminal for alcohol detection
Measurement mode: Non-contact measurement 
Sensor: Electrochemical alcohol sensor 
Detectable range: 0.000 mg/L to 2.000 mg/L",9854.09,14288.43,45,HIKVISION SA,peripherals
DS-K7MX-A0,"Mouthpiece, including 40 pcs, used with DS-KAB673-A alcohol detection module of DS-K1T673 Series Face Recognition Terminal for alcohol detection
Dimensions：42.5 mm × 42.5 mm × 35.9 mm (1.7"" × 1.7"" × 1.4"")",275.09,398.88,45,HIKVISION SA,peripherals
DS-KAB673-S1,"Dimensions：42.5 mm × 42.5 mm × 35.9 mm (1.7"" × 1.7"" × 1.4"")",332.87,482.66,45,HIKVISION SA,K1T673 Bracket
